이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
장원준,30,1,0,30,12,12,0,0,169.2,86,77,748,182,35,2,13,68,1,14,128,0,4,4.08,4.54,1.47,114.8,104.1,2.89
이현승,41,0,0,0,3,1,18,2,46.2,16,15,191,45,9,0,3,10,2,2,41,0,2,2.89,3.34,1.18,162.1,141.4,2.21
이현호,49,0,0,7,6,1,0,2,86.0,43,40,377,83,6,2,8,35,0,4,87,0,17,4.19,4.16,1.37,112.0,112.5,1.77
함덕주,68,0,0,0,7,2,2,16,61.2,30,25,278,52,10,1,4,46,1,2,76,1,2,3.65,4.28,1.59,128.5,111.0,1.35
윤명준,60,0,0,0,4,6,6,7,68.0,33,30,302,72,8,2,9,30,3,5,48,0,3,3.97,5.34,1.50,118.1,86.8,1.28
스와잭,20,0,0,17,5,7,0,1,92.1,57,54,414,110,19,1,9,30,1,4,72,1,4,5.26,4.40,1.52,89.1,106.3,0.87
니퍼트,20,0,0,16,6,5,0,0,90.0,54,51,404,104,21,0,4,33,0,4,76,0,4,5.10,3.74,1.52,91.9,128.0,0.86
허준혁,16,0,0,14,3,2,0,0,63.0,37,25,282,52,7,1,7,41,1,6,45,0,3,3.57,5.82,1.48,131.3,80.5,0.80
노경은,47,0,0,0,1,4,4,0,58.1,33,29,267,57,12,1,6,37,1,5,41,0,8,4.47,5.66,1.61,104.8,83.0,0.58
오현택,61,0,0,0,1,3,0,13,56.0,33,33,239,59,19,0,6,16,3,4,45,1,0,5.30,4.31,1.34,88.4,107.7,0.50
김강률,16,0,0,0,3,1,0,3,14.2,5,4,67,14,3,1,1,10,0,0,7,0,1,2.45,5.59,1.64,191.0,84.9,0.47
오장훈,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0,0,0,1,0,0,2,0,0,0.00,2.62,2.00,,189.5,0.04
양현,13,0,0,0,0,0,0,0,10.1,7,6,50,19,1,1,2,0,0,3,7,0,0,5.23,5.65,1.84,89.7,80.6,0.02
남경호,5,0,0,0,0,0,0,0,9.0,7,6,40,5,1,0,2,7,0,1,10,0,0,6.00,6.95,1.33,78.1,65.9,-0.00
조승수,1,0,0,0,0,0,0,0,1.0,1,1,6,2,1,0,1,1,0,0,1,0,0,9.00,17.62,3.00,52.1,24.7,-0.01
박종기,3,0,0,0,0,0,0,0,2.1,3,3,13,4,1,0,1,3,0,0,2,0,0,11.57,11.33,3.00,40.5,39.8,-0.06
변시원,1,0,0,0,1,0,0,0,1.2,2,2,9,1,0,0,0,3,0,1,1,0,2,10.80,9.62,2.40,43.4,50.5,-0.07
